<ProjectName> <NoCType> <NumRotX> <NumRotY> <FlitSize> <BufferDepth> <FlowControl> <VirtualChannel> <Algorithm> <CyclesPerFlit> <CyclesToRoute> <Scheduling> <SCTB> <CRCType> <Saboteur> <DR> <DF> <GN> <GP> <Routing> <CTRLRouting> <GSRouting> <BERouting>
HermesHS_2x2 HERMES 2 2 16 16 Handshake 1 AlgorithmXY 2 7 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesHS_3x3 HERMES 3 3 16 16 Handshake 1 AlgorithmXY 2 7 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesHS_4x4 HERMES 4 4 16 16 Handshake 1 AlgorithmXY 2 7 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesHS_3x4 HERMES 3 4 16 16 Handshake 1 AlgorithmXY 2 7 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesHS_4x3 HERMES 4 3 16 16 Handshake 1 AlgorithmXY 2 7 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesCB_1VC_2x2 HERMES 2 2 16 16 CreditBased 1 AlgorithmXY 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesCB_1VC_3x3 HERMES 3 3 16 16 CreditBased 1 AlgorithmXY 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesCB_1VC_4x4 HERMES 4 4 16 16 CreditBased 1 AlgorithmXY 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesCB_2VC_2x2 HERMES 2 2 16 16 CreditBased 2 AlgorithmXY 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesCB_2VC_3x3 HERMES 3 3 16 16 CreditBased 2 AlgorithmXY 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesCB_2VC_4x4 HERMES 4 4 16 16 CreditBased 2 AlgorithmXY 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesCB_4VC_2x2 HERMES 2 2 16 16 CreditBased 4 AlgorithmXY 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesCB_4VC_3x3 HERMES 3 3 16 16 CreditBased 4 AlgorithmXY 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesCB_4VC_4x4 HERMES 4 4 16 16 CreditBased 4 AlgorithmXY 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesFP_2VC_2x2 HERMES 2 2 16 16 CreditBased 2 AlgorithmXY 1 5 Priority true none false false false false false "0" "0" "0" "0"
